


      Monthly sea levels for SUVA
      ---------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        9 2012     0     7200      0.487      2.108      1.285     0.428
       10 2012     0     7440      0.403      2.140      1.272     0.414
       11 2012     0     7200      0.283      2.116      1.247     0.408
       12 2012     0     7440      0.368      2.231      1.279     0.413
        1 2013     0     7440      0.386      2.211      1.322     0.422
        2 2013     0     6720      0.382      2.078      1.259     0.428
        3 2013     0     7440      0.423      2.025      1.227     0.440
        4 2013     0     7200      0.339      2.098      1.212     0.437
        5 2013     0     7440      0.271      2.121      1.189     0.447
        6 2013     0     7200      0.153      2.043      1.187     0.442
        7 2013     0     7440      0.208      2.082      1.146     0.433
        8 2013     0     7440      0.270      2.049      1.156     0.430
        9 2013     0     7200      0.391      2.040      1.192     0.427
       10 2013     0     7440      0.400      2.012      1.204     0.420
       11 2013     0     7200      0.357      2.056      1.258     0.425
       12 2013     0     7440      0.334      2.155      1.275     0.425
        1 2014     0     7440      0.356      2.290      1.306     0.442
        2 2014     0     6720      0.334      2.177      1.286     0.418
        3 2014     0     7440      0.354      2.167      1.242     0.441
        4 2014     0     7200      0.382      2.067      1.247     0.439
        5 2014     0     7440      0.339      2.085      1.189     0.440
        6 2014     0     7200      0.264      2.064      1.200     0.431
        7 2014     0     7440      0.326      2.191      1.204     0.431
        8 2014     0     7440      0.175      2.054      1.132     0.438
        9 2014     0     7200      0.243      2.076      1.167     0.435
       10 2014     0     7440      0.317      2.062      1.175     0.430
       11 2014     0     7200      0.293      2.056      1.164     0.450
       12 2014     0     7440      0.332      2.093      1.216     0.445
        1 2015     0     7440      0.319      2.182      1.283     0.435
        2 2015     0     6720      0.346      2.190      1.279     0.444
        3 2015     0     7440      0.345      2.182      1.252     0.435
        4 2015     0     7200      0.302      2.160      1.191     0.439
        5 2015     0     7440      0.228      2.031      1.144     0.436
        6 2015     0     7200      0.217      1.986      1.118     0.446
        7 2015   425     7015      0.238      1.998      1.102     0.458
        8 2015     0     7440      0.189      2.034      1.138     0.468
        9 2015     0     7200      0.256      2.120      1.180     0.466
       10 2015     0     7440      0.259      2.123      1.179     0.448
       11 2015     0     7200      0.383      2.187      1.250     0.430
       12 2015     0     7440      0.409      2.109      1.280     0.420
        1 2016     0     7440      0.329      2.037      1.212     0.429
        2 2016     0     6960      0.422      2.178      1.272     0.439
        3 2016  4374     3066      0.290      2.051      1.180     0.442
        4 2016   480     6720      0.260      2.142      1.161     0.443
        5 2016     0     7440      0.149      2.007      1.060     0.424
        6 2016     0     7200      0.165      2.023      1.132     0.437
        7 2016     0     7440      0.236      2.004      1.151     0.447
        8 2016     0     7440      0.331      2.008      1.183     0.442
        9 2016     0     7200      0.379      2.074      1.209     0.443
       10 2016     0     7440      0.314      2.143      1.226     0.436
       11 2016     0     7200      0.234      2.137      1.220     0.428
       12 2016     0     7440      0.215      2.124      1.226     0.435
